"","filecoverage","totalcoverage"
"R/checkClass.R",57.14,43.59
"R/colPercent.R",100,43.59
"R/ds.asCharacter.o.R",68.63,43.59
"R/ds.asDataMatrix.o.R",68.63,43.59
"R/ds.asFactor.o.R",74.47,43.59
"R/ds.asInteger.o.R",68.63,43.59
"R/ds.asList.o.R",87.5,43.59
"R/ds.asLogical.o.R",68.63,43.59
"R/ds.asMatrix.o.R",68.63,43.59
"R/ds.asNumeric.o.R",68.63,43.59
"R/ds.Boole.o.R",0,43.59
"R/ds.cbind.o.R",66.96,43.59
"R/ds.cor.o.R",42.99,43.59
"R/ds.cov.o.R",46.84,43.59
"R/ds.dataFrame.o.R",63.39,43.59
"R/ds.dataFrameSort.o.R",66.67,43.59
"R/ds.dataFrameSubset.o.R",60.44,43.59
"R/ds.dim.o.R",61.54,43.59
"R/ds.glm.o.R",56.09,43.59
"R/ds.glmSLMA.o.R",81.82,43.59
"R/ds.histogram.o.R",0,43.59
"R/ds.length.o.R",58.33,43.59
"R/ds.lexis.o.R",0,43.59
"R/ds.listClientsideFunctions.o.R",0,43.59
"R/ds.listDisclosureSettings.o.R",100,43.59
"R/ds.listOpals.o.R",0,43.59
"R/ds.listServersideFunctions.o.R",100,43.59
"R/ds.look.o.R",0,43.59
"R/ds.make.o.R",66.67,43.59
"R/ds.matrixDet.R",69.09,43.59
"R/ds.matrixDet.report.R",90.91,43.59
"R/ds.matrixDiag.R",0,43.59
"R/ds.matrixDimnames.R",68.63,43.59
"R/ds.matrixInvert.R",68.63,43.59
"R/ds.matrixMult.R",67.92,43.59
"R/ds.matrix.R",66.15,43.59
"R/ds.matrixTranspose.R",68.63,43.59
"R/ds.mean.o.R",94.64,43.59
"R/ds.meanSdGp.R",0,43.59
"R/ds.merge.o.R",0,43.59
"R/ds.message.o.R",100,43.59
"R/ds.rbind.o.R",65.42,43.59
"R/ds.rBinom.o.R",65.09,43.59
"R/ds.recodeValues.o.R",61.18,43.59
"R/ds.reShape.o.R",0,43.59
"R/ds.rilm.b.R",0,43.59
"R/ds.rm.o.R",100,43.59
"R/ds.rNorm.o.R",64.42,43.59
"R/ds.rPois.o.R",65.31,43.59
"R/ds.rUnif.o.R",64.42,43.59
"R/ds.scatterPlot.o.R",0,43.59
"R/ds.seq.o.R",74.03,43.59
"R/ds.setDefaultOpals.o.R",0,43.59
"R/ds.setSeed.o.R",75,43.59
"R/ds.table2D.o.R",81.4,43.59
"R/ds.tapply.assign.o.R",0,43.59
"R/ds.tapply.o.R",0,43.59
"R/ds.testObjExists.o.R",43.75,43.59
"R/ds.tTestF.R",0,43.59
"R/ds.unList.o.R",88.89,43.59
"R/ds.var.o.R",78.95,43.59
"R/extract.R",100,43.59
"R/findLoginObjects.R",33.33,43.59
"R/getOpals.R",54.29,43.59
"R/getPooledMean.R",0,43.59
"R/getPooledVar.R",0,43.59
"R/glmChecks.R",0,43.59
"R/isAssigned.R",0,43.59
"R/isDefined.R",88.89,43.59
"R/logical2int.R",0,43.59
"R/rowPercent.R",100,43.59
"R/subsetHelper.R",0,43.59
"R/tTestHelper1.R",0,43.59
"R/tTestHelper2.R",0,43.59
